Sample;20ms_raw;freilaufend_raw;Mittelwert_20ms;Mittelwert_freilaufend;20ms;freilaufend
256;212215;187838;213254.6729;187665.6733;-1039.672852;172.3266602
257;212195;187978;213254.6729;187665.6733;-1059.672852;312.3266602
258;212180;187833;213254.6729;187665.6733;-1074.672852;167.3266602
259;212168;187853;213254.6729;187665.6733;-1086.672852;187.3266602
260;212168;187849;213254.6729;187665.6733;-1086.672852;183.3266602
261;212250;187864;213254.6729;187665.6733;-1004.672852;198.3266602
262;212398;187919;213254.6729;187665.6733;-856.6728516;253.3266602
263;212339;187951;213254.6729;187665.6733;-915.6728516;285.3266602
264;212356;187965;213254.6729;187665.6733;-898.6728516;299.3266602
265;212334;187878;213254.6729;187665.6733;-920.6728516;212.3266602
266;212393;187777;213254.6729;187665.6733;-861.6728516;111.3266602
267;212262;187777;213254.6729;187665.6733;-992.6728516;111.3266602
268;212314;187774;213254.6729;187665.6733;-940.6728516;108.3266602
269;212227;187772;213254.6729;187665.6733;-1027.672852;106.3266602
270;212289;187843;213254.6729;187665.6733;-965.6728516;177.3266602
271;212357;187769;213254.6729;187665.6733;-897.6728516;103.3266602
272;212403;187747;213254.6729;187665.6733;-851.6728516;81.32666016
273;212379;187721;213254.6729;187665.6733;-875.6728516;55.32666016
274;212376;187791;213254.6729;187665.6733;-878.6728516;125.3266602
275;212409;187827;213254.6729;187665.6733;-845.6728516;161.3266602
276;212403;187822;213254.6729;187665.6733;-851.6728516;156.3266602
277;212480;187801;213254.6729;187665.6733;-774.6728516;135.3266602
278;212460;187775;213254.6729;187665.6733;-794.6728516;109.3266602
279;212555;187799;213254.6729;187665.6733;-699.6728516;133.3266602
280;212593;187883;213254.6729;187665.6733;-661.6728516;217.3266602
281;212551;187805;213254.6729;187665.6733;-703.6728516;139.3266602
282;212637;187811;213254.6729;187665.6733;-617.6728516;145.3266602
283;212559;187872;213254.6729;187665.6733;-695.6728516;206.3266602
284;212583;187806;213254.6729;187665.6733;-671.6728516;140.3266602
285;212669;187805;213254.6729;187665.6733;-585.6728516;139.3266602
286;212602;187814;213254.6729;187665.6733;-652.6728516;148.3266602
287;212627;187852;213254.6729;187665.6733;-627.6728516;186.3266602
288;212671;187792;213254.6729;187665.6733;-583.6728516;126.3266602
289;212686;187717;213254.6729;187665.6733;-568.6728516;51.32666016
290;212799;187766;213254.6729;187665.6733;-455.6728516;100.3266602
291;212651;187920;213254.6729;187665.6733;-603.6728516;254.3266602
292;212690;187729;213254.6729;187665.6733;-564.6728516;63.32666016
293;212740;187680;213254.6729;187665.6733;-514.6728516;14.32666016
294;212773;187689;213254.6729;187665.6733;-481.6728516;23.32666016
295;212739;187721;213254.6729;187665.6733;-515.6728516;55.32666016
296;212788;187757;213254.6729;187665.6733;-466.6728516;91.32666016
297;212753;187672;213254.6729;187665.6733;-501.6728516;6.326660156
298;212711;187669;213254.6729;187665.6733;-543.6728516;3.326660156
299;212694;187656;213254.6729;187665.6733;-560.6728516;-9.673339844
300;212846;187615;213254.6729;187665.6733;-408.6728516;-50.67333984
301;212957;187782;213254.6729;187665.6733;-297.6728516;116.3266602
302;212891;187680;213254.6729;187665.6733;-363.6728516;14.32666016
303;212877;187764;213254.6729;187665.6733;-377.6728516;98.32666016
304;212933;187633;213254.6729;187665.6733;-321.6728516;-32.67333984
305;212972;187631;213254.6729;187665.6733;-282.6728516;-34.67333984
306;212932;187690;213254.6729;187665.6733;-322.6728516;24.32666016
307;212868;187678;213254.6729;187665.6733;-386.6728516;12.32666016
308;212748;187738;213254.6729;187665.6733;-506.6728516;72.32666016
309;212895;187652;213254.6729;187665.6733;-359.6728516;-13.67333984
310;212933;187688;213254.6729;187665.6733;-321.6728516;22.32666016
311;212942;187760;213254.6729;187665.6733;-312.6728516;94.32666016
312;212980;187635;213254.6729;187665.6733;-274.6728516;-30.67333984
313;212999;187811;213254.6729;187665.6733;-255.6728516;145.3266602
314;212942;187802;213254.6729;187665.6733;-312.6728516;136.3266602
315;212955;187801;213254.6729;187665.6733;-299.6728516;135.3266602
316;212988;187815;213254.6729;187665.6733;-266.6728516;149.3266602
317;212936;187839;213254.6729;187665.6733;-318.6728516;173.3266602
318;213080;187928;213254.6729;187665.6733;-174.6728516;262.3266602
319;213058;187920;213254.6729;187665.6733;-196.6728516;254.3266602
320;213125;187828;213254.6729;187665.6733;-129.6728516;162.3266602
321;213182;187776;213254.6729;187665.6733;-72.67285156;110.3266602
322;213161;187597;213254.6729;187665.6733;-93.67285156;-68.67333984
323;213247;187785;213254.6729;187665.6733;-7.672851563;119.3266602
324;213292;187787;213254.6729;187665.6733;37.32714844;121.3266602
325;213228;187759;213254.6729;187665.6733;-26.67285156;93.32666016
326;213248;187752;213254.6729;187665.6733;-6.672851563;86.32666016
327;213260;187732;213254.6729;187665.6733;5.327148438;66.32666016
328;213288;187804;213254.6729;187665.6733;33.32714844;138.3266602
329;213329;187771;213254.6729;187665.6733;74.32714844;105.3266602
330;213332;187744;213254.6729;187665.6733;77.32714844;78.32666016
331;213397;187640;213254.6729;187665.6733;142.3271484;-25.67333984
332;213346;187682;213254.6729;187665.6733;91.32714844;16.32666016
333;213318;187673;213254.6729;187665.6733;63.32714844;7.326660156
334;213312;187583;213254.6729;187665.6733;57.32714844;-82.67333984
335;213354;187673;213254.6729;187665.6733;99.32714844;7.326660156
336;213371;187710;213254.6729;187665.6733;116.3271484;44.32666016
337;213368;187703;213254.6729;187665.6733;113.3271484;37.32666016
338;213296;187702;213254.6729;187665.6733;41.32714844;36.32666016
339;213260;187676;213254.6729;187665.6733;5.327148438;10.32666016
340;213287;187689;213254.6729;187665.6733;32.32714844;23.32666016
341;213255;187713;213254.6729;187665.6733;0.327148438;47.32666016
342;213285;187719;213254.6729;187665.6733;30.32714844;53.32666016
343;213245;187532;213254.6729;187665.6733;-9.672851563;-133.6733398
344;213146;187698;213254.6729;187665.6733;-108.6728516;32.32666016
345;213253;187675;213254.6729;187665.6733;-1.672851563;9.326660156
346;213314;187682;213254.6729;187665.6733;59.32714844;16.32666016
347;213312;187721;213254.6729;187665.6733;57.32714844;55.32666016
348;213352;187669;213254.6729;187665.6733;97.32714844;3.326660156
349;213279;187729;213254.6729;187665.6733;24.32714844;63.32666016
350;213238;187709;213254.6729;187665.6733;-16.67285156;43.32666016
351;213293;187752;213254.6729;187665.6733;38.32714844;86.32666016
352;213314;187692;213254.6729;187665.6733;59.32714844;26.32666016
353;213382;187655;213254.6729;187665.6733;127.3271484;-10.67333984
354;213393;187610;213254.6729;187665.6733;138.3271484;-55.67333984
355;213468;187786;213254.6729;187665.6733;213.3271484;120.3266602
356;213552;187614;213254.6729;187665.6733;297.3271484;-51.67333984
357;213464;187770;213254.6729;187665.6733;209.3271484;104.3266602
358;213389;187612;213254.6729;187665.6733;134.3271484;-53.67333984
359;213418;187722;213254.6729;187665.6733;163.3271484;56.32666016
360;213420;187734;213254.6729;187665.6733;165.3271484;68.32666016
361;213479;187743;213254.6729;187665.6733;224.3271484;77.32666016
362;213452;187706;213254.6729;187665.6733;197.3271484;40.32666016
363;213414;187604;213254.6729;187665.6733;159.3271484;-61.67333984
364;213467;187546;213254.6729;187665.6733;212.3271484;-119.6733398
365;213544;187575;213254.6729;187665.6733;289.3271484;-90.67333984
366;213536;187661;213254.6729;187665.6733;281.3271484;-4.673339844
367;213450;187621;213254.6729;187665.6733;195.3271484;-44.67333984
368;213604;187633;213254.6729;187665.6733;349.3271484;-32.67333984
369;213487;187682;213254.6729;187665.6733;232.3271484;16.32666016
370;213521;187659;213254.6729;187665.6733;266.3271484;-6.673339844
371;213503;187675;213254.6729;187665.6733;248.3271484;9.326660156
372;213340;187608;213254.6729;187665.6733;85.32714844;-57.67333984
373;213490;187696;213254.6729;187665.6733;235.3271484;30.32666016
374;213435;187768;213254.6729;187665.6733;180.3271484;102.3266602
375;213601;187676;213254.6729;187665.6733;346.3271484;10.32666016
376;213500;187646;213254.6729;187665.6733;245.3271484;-19.67333984
377;213426;187671;213254.6729;187665.6733;171.3271484;5.326660156
378;213440;187780;213254.6729;187665.6733;185.3271484;114.3266602
379;213609;187555;213254.6729;187665.6733;354.3271484;-110.6733398
380;213593;187572;213254.6729;187665.6733;338.3271484;-93.67333984
381;213536;187676;213254.6729;187665.6733;281.3271484;10.32666016
382;213595;187666;213254.6729;187665.6733;340.3271484;0.326660156
383;213705;187550;213254.6729;187665.6733;450.3271484;-115.6733398
384;213656;187605;213254.6729;187665.6733;401.3271484;-60.67333984
385;213666;187549;213254.6729;187665.6733;411.3271484;-116.6733398
386;213754;187495;213254.6729;187665.6733;499.3271484;-170.6733398
387;213728;187586;213254.6729;187665.6733;473.3271484;-79.67333984
388;213727;187479;213254.6729;187665.6733;472.3271484;-186.6733398
389;213724;187558;213254.6729;187665.6733;469.3271484;-107.6733398
390;213647;187457;213254.6729;187665.6733;392.3271484;-208.6733398
391;213709;187642;213254.6729;187665.6733;454.3271484;-23.67333984
392;213855;187632;213254.6729;187665.6733;600.3271484;-33.67333984
393;213849;187703;213254.6729;187665.6733;594.3271484;37.32666016
394;213869;187734;213254.6729;187665.6733;614.3271484;68.32666016
395;213830;187859;213254.6729;187665.6733;575.3271484;193.3266602
396;213935;187802;213254.6729;187665.6733;680.3271484;136.3266602
397;213869;187725;213254.6729;187665.6733;614.3271484;59.32666016
398;213993;187745;213254.6729;187665.6733;738.3271484;79.32666016
399;213973;187644;213254.6729;187665.6733;718.3271484;-21.67333984
400;213993;187721;213254.6729;187665.6733;738.3271484;55.32666016
401;213806;187669;213254.6729;187665.6733;551.3271484;3.326660156
402;213831;187675;213254.6729;187665.6733;576.3271484;9.326660156
403;213896;187690;213254.6729;187665.6733;641.3271484;24.32666016
404;213982;187774;213254.6729;187665.6733;727.3271484;108.3266602
405;214015;187738;213254.6729;187665.6733;760.3271484;72.32666016
406;214013;187724;213254.6729;187665.6733;758.3271484;58.32666016
407;213962;187762;213254.6729;187665.6733;707.3271484;96.32666016
408;214046;187736;213254.6729;187665.6733;791.3271484;70.32666016
409;214032;187676;213254.6729;187665.6733;777.3271484;10.32666016
410;214111;187596;213254.6729;187665.6733;856.3271484;-69.67333984
411;214066;187625;213254.6729;187665.6733;811.3271484;-40.67333984
412;213886;187663;213254.6729;187665.6733;631.3271484;-2.673339844
413;214007;187755;213254.6729;187665.6733;752.3271484;89.32666016
414;214001;187860;213254.6729;187665.6733;746.3271484;194.3266602
415;213968;187746;213254.6729;187665.6733;713.3271484;80.32666016
416;213983;187766;213254.6729;187665.6733;728.3271484;100.3266602
417;214033;187686;213254.6729;187665.6733;778.3271484;20.32666016
418;214023;187697;213254.6729;187665.6733;768.3271484;31.32666016
419;214133;187641;213254.6729;187665.6733;878.3271484;-24.67333984
